Run,Dataset,Label_Ratio,GMean
0,INSECTS incremental_imbalanced,0.05,0.255837528
0,INSECTS incremental_imbalanced,0.1,0.255011261
0,INSECTS incremental_imbalanced,0.2,0.205993271
0,INSECTS incremental_imbalanced,0.5,0.140975782
0,INSECTS incremental_imbalanced,1,0.397326651
0,INSECTS incremental-abrupt_imbalanced,0.05,0.258644941
0,INSECTS incremental-abrupt_imbalanced,0.1,0.261829691
0,INSECTS incremental-abrupt_imbalanced,0.2,0.253076247
0,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753
0,INSECTS incremental-abrupt_imbalanced,1,0.388659324
0,Keystroke,0.05,0.469252723
0,Keystroke,0.1,0.677857726
0,Keystroke,0.2,0.74264432
0,Keystroke,0.5,0.684794435
0,Keystroke,1,0.940603409
0,NOAA,0.05,0.54789658
0,NOAA,0.1,0.566683737
0,NOAA,0.2,0.576154674
0,NOAA,0.5,0.65697857
0,NOAA,1,0.673206388
0,Ozone,0.05,0.398216804
0,Ozone,0.1,0.499601971
0,Ozone,0.2,0.530672797
0,Ozone,0.5,0.485630903
0,Ozone,1,0.474968935
1,INSECTS incremental_imbalanced,0.05,0.244001277
1,INSECTS incremental_imbalanced,0.1,0.250226153
1,INSECTS incremental_imbalanced,0.2,0.201822281
1,INSECTS incremental_imbalanced,0.5,0.140975782
1,INSECTS incremental_imbalanced,1,0.397326651
1,INSECTS incremental-abrupt_imbalanced,0.05,0.246213318
1,INSECTS incremental-abrupt_imbalanced,0.1,0.251056904
1,INSECTS incremental-abrupt_imbalanced,0.2,0.253076247
1,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753
1,INSECTS incremental-abrupt_imbalanced,1,0.388659324
1,Keystroke,0.05,0.597571456
1,Keystroke,0.1,0.631897724
1,Keystroke,0.2,0.759429881
1,Keystroke,0.5,0.684794435
1,Keystroke,1,0.940603409
1,NOAA,0.05,0.555652906
1,NOAA,0.1,0.56867797
1,NOAA,0.2,0.576154674
1,NOAA,0.5,0.664807861
1,NOAA,1,0.673206388
1,Ozone,0.05,0.458679414
1,Ozone,0.1,0.450062062
1,Ozone,0.2,0.530672797
1,Ozone,0.5,0.521537607
1,Ozone,1,0.474968935
2,INSECTS incremental_imbalanced,0.05,0.255837528
2,INSECTS incremental_imbalanced,0.1,0.250226153
2,INSECTS incremental_imbalanced,0.2,0.205993271
2,INSECTS incremental_imbalanced,0.5,0.140975782
2,INSECTS incremental_imbalanced,1,0.397326651
2,INSECTS incremental-abrupt_imbalanced,0.05,0.251629667
2,INSECTS incremental-abrupt_imbalanced,0.1,0.246661802
2,INSECTS incremental-abrupt_imbalanced,0.2,0.253076247
2,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753
2,INSECTS incremental-abrupt_imbalanced,1,0.388659324
2,Keystroke,0.05,0.618715253
2,Keystroke,0.1,0.692701923
2,Keystroke,0.2,0.808101158
2,Keystroke,0.5,0.684794435
2,Keystroke,1,0.940603409
2,NOAA,0.05,0.527218925
2,NOAA,0.1,0.564682885
2,NOAA,0.2,0.564626106
2,NOAA,0.5,0.65697857
2,NOAA,1,0.673206388
2,Ozone,0.05,0.328552705
2,Ozone,0.1,0.450062062
2,Ozone,0.2,0.483722719
2,Ozone,0.5,0.485630903
2,Ozone,1,0.474968935
3,INSECTS incremental_imbalanced,0.05,0.256502765
3,INSECTS incremental_imbalanced,0.1,0.250226153
3,INSECTS incremental_imbalanced,0.2,0.205993271
3,INSECTS incremental_imbalanced,0.5,0.140975782
3,INSECTS incremental_imbalanced,1,0.397326651
3,INSECTS incremental-abrupt_imbalanced,0.05,0.256395692
3,INSECTS incremental-abrupt_imbalanced,0.1,0.236515795
3,INSECTS incremental-abrupt_imbalanced,0.2,0.253076247
3,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753
3,INSECTS incremental-abrupt_imbalanced,1,0.388659324
3,Keystroke,0.05,0.564406712
3,Keystroke,0.1,0.660722537
3,Keystroke,0.2,0.759429881
3,Keystroke,0.5,0.684794435
3,Keystroke,1,0.940603409
3,NOAA,0.05,0.527218925
3,NOAA,0.1,0.568087838
3,NOAA,0.2,0.576154674
3,NOAA,0.5,0.65697857
3,NOAA,1,0.673206388
3,Ozone,0.05,0.386896732
3,Ozone,0.1,0.450062062
3,Ozone,0.2,0.530672797
3,Ozone,0.5,0.521537607
3,Ozone,1,0.474968935
4,INSECTS incremental_imbalanced,0.05,0.257925235
4,INSECTS incremental_imbalanced,0.1,0.248115518
4,INSECTS incremental_imbalanced,0.2,0.205993271
4,INSECTS incremental_imbalanced,0.5,0.140975782
4,INSECTS incremental_imbalanced,1,0.397326651
4,INSECTS incremental-abrupt_imbalanced,0.05,0.253621112
4,INSECTS incremental-abrupt_imbalanced,0.1,0.255928533
4,INSECTS incremental-abrupt_imbalanced,0.2,0.253076247
4,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753
4,INSECTS incremental-abrupt_imbalanced,1,0.388659324
4,Keystroke,0.05,0.497770431
4,Keystroke,0.1,0.703439806
4,Keystroke,0.2,0.808101158
4,Keystroke,0.5,0.684794435
4,Keystroke,1,0.940603409
4,NOAA,0.05,0.527224883
4,NOAA,0.1,0.555774044
4,NOAA,0.2,0.564626106
4,NOAA,0.5,0.65697857
4,NOAA,1,0.673206388
4,Ozone,0.05,0.459718001
4,Ozone,0.1,0.500547761
4,Ozone,0.2,0.526925722
4,Ozone,0.5,0.485630903
4,Ozone,1,0.474968935
5,INSECTS incremental_imbalanced,0.05,0.241775004
5,INSECTS incremental_imbalanced,0.1,0.242432147
5,INSECTS incremental_imbalanced,0.2,0.198063957
5,INSECTS incremental_imbalanced,0.5,0.140975782
5,INSECTS incremental_imbalanced,1,0.397326651
5,INSECTS incremental-abrupt_imbalanced,0.05,0.263494076
5,INSECTS incremental-abrupt_imbalanced,0.1,0.246993937
5,INSECTS incremental-abrupt_imbalanced,0.2,0.253076247
5,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753
5,INSECTS incremental-abrupt_imbalanced,1,0.388659324
5,Keystroke,0.05,0.60143995
5,Keystroke,0.1,0.718405722
5,Keystroke,0.2,0.74264432
5,Keystroke,0.5,0.684794435
5,Keystroke,1,0.940603409
5,NOAA,0.05,0.527224883
5,NOAA,0.1,0.568087838
5,NOAA,0.2,0.576154674
5,NOAA,0.5,0.65697857
5,NOAA,1,0.673206388
5,Ozone,0.05,0.336739118
5,Ozone,0.1,0.529920032
5,Ozone,0.2,0.529621612
5,Ozone,0.5,0.485630903
5,Ozone,1,0.474968935
6,INSECTS incremental_imbalanced,0.05,0.258671007
6,INSECTS incremental_imbalanced,0.1,0.233883403
6,INSECTS incremental_imbalanced,0.2,0.202891199
6,INSECTS incremental_imbalanced,0.5,0.140975782
6,INSECTS incremental_imbalanced,1,0.397326651
6,INSECTS incremental-abrupt_imbalanced,0.05,0.236757348
6,INSECTS incremental-abrupt_imbalanced,0.1,0.246661802
6,INSECTS incremental-abrupt_imbalanced,0.2,0.245814772
6,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753
6,INSECTS incremental-abrupt_imbalanced,1,0.388659324
6,Keystroke,0.05,0.522383044
6,Keystroke,0.1,0.67448349
6,Keystroke,0.2,0.759429881
6,Keystroke,0.5,0.684794435
6,Keystroke,1,0.940603409
6,NOAA,0.05,0.525271946
6,NOAA,0.1,0.562893313
6,NOAA,0.2,0.576886398
6,NOAA,0.5,0.65697857
6,NOAA,1,0.673206388
6,Ozone,0.05,0.459718001
6,Ozone,0.1,0.430694173
6,Ozone,0.2,0.529621612
6,Ozone,0.5,0.521537607
6,Ozone,1,0.474968935
7,INSECTS incremental_imbalanced,0.05,0.256502765
7,INSECTS incremental_imbalanced,0.1,0.247064631
7,INSECTS incremental_imbalanced,0.2,0.201822281
7,INSECTS incremental_imbalanced,0.5,0.140975782
7,INSECTS incremental_imbalanced,1,0.397326651
7,INSECTS incremental-abrupt_imbalanced,0.05,0.258644941
7,INSECTS incremental-abrupt_imbalanced,0.1,0.246661802
7,INSECTS incremental-abrupt_imbalanced,0.2,0.244025048
7,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753
7,INSECTS incremental-abrupt_imbalanced,1,0.388659324
7,Keystroke,0.05,0.564406712
7,Keystroke,0.1,0.703439806
7,Keystroke,0.2,0.74264432
7,Keystroke,0.5,0.684794435
7,Keystroke,1,0.940603409
7,NOAA,0.05,0.525271946
7,NOAA,0.1,0.568087838
7,NOAA,0.2,0.574929936
7,NOAA,0.5,0.664807861
7,NOAA,1,0.673206388
7,Ozone,0.05,0.386896732
7,Ozone,0.1,0.444960184
7,Ozone,0.2,0.530672797
7,Ozone,0.5,0.485630903
7,Ozone,1,0.474968935
8,INSECTS incremental_imbalanced,0.05,0.244001277
8,INSECTS incremental_imbalanced,0.1,0.233883403
8,INSECTS incremental_imbalanced,0.2,0.198063957
8,INSECTS incremental_imbalanced,0.5,0.140975782
8,INSECTS incremental_imbalanced,1,0.397326651
8,INSECTS incremental-abrupt_imbalanced,0.05,0.238917833
8,INSECTS incremental-abrupt_imbalanced,0.1,0.256377587
8,INSECTS incremental-abrupt_imbalanced,0.2,0.244025048
8,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753
8,INSECTS incremental-abrupt_imbalanced,1,0.388659324
8,Keystroke,0.05,0.497770431
8,Keystroke,0.1,0.703439806
8,Keystroke,0.2,0.808101158
8,Keystroke,0.5,0.684794435
8,Keystroke,1,0.940603409
8,NOAA,0.05,0.525269049
8,NOAA,0.1,0.566683737
8,NOAA,0.2,0.576154674
8,NOAA,0.5,0.664807861
8,NOAA,1,0.673206388
8,Ozone,0.05,0.398216804
8,Ozone,0.1,0.444960184
8,Ozone,0.2,0.526925722
8,Ozone,0.5,0.521537607
8,Ozone,1,0.474968935
9,INSECTS incremental_imbalanced,0.05,0.235156016
9,INSECTS incremental_imbalanced,0.1,0.242432147
9,INSECTS incremental_imbalanced,0.2,0.201822281
9,INSECTS incremental_imbalanced,0.5,0.140975782
9,INSECTS incremental_imbalanced,1,0.397326651
9,INSECTS incremental-abrupt_imbalanced,0.05,0.243107428
9,INSECTS incremental-abrupt_imbalanced,0.1,0.256377587
9,INSECTS incremental-abrupt_imbalanced,0.2,0.244025048
9,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753
9,INSECTS incremental-abrupt_imbalanced,1,0.388659324
9,Keystroke,0.05,0.552038438
9,Keystroke,0.1,0.649606869
9,Keystroke,0.2,0.759429881
9,Keystroke,0.5,0.684794435
9,Keystroke,1,0.940603409
9,NOAA,0.05,0.54276091
9,NOAA,0.1,0.566683737
9,NOAA,0.2,0.576886398
9,NOAA,0.5,0.664807861
9,NOAA,1,0.673206388
9,Ozone,0.05,0.415783916
9,Ozone,0.1,0.499601971
9,Ozone,0.2,0.483722719
9,Ozone,0.5,0.521537607
9,Ozone,1,0.474968935
10,INSECTS incremental_imbalanced,0.05,0.235156016
10,INSECTS incremental_imbalanced,0.1,0.253359944
10,INSECTS incremental_imbalanced,0.2,0.205993271
10,INSECTS incremental_imbalanced,0.5,0.140975782
10,INSECTS incremental_imbalanced,1,0.397326651
10,INSECTS incremental-abrupt_imbalanced,0.05,0.236757348
10,INSECTS incremental-abrupt_imbalanced,0.1,0.261829691
10,INSECTS incremental-abrupt_imbalanced,0.2,0.253076247
10,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753
10,INSECTS incremental-abrupt_imbalanced,1,0.388659324
10,Keystroke,0.05,0.552038438
10,Keystroke,0.1,0.67448349
10,Keystroke,0.2,0.759429881
10,Keystroke,0.5,0.684794435
10,Keystroke,1,0.940603409
10,NOAA,0.05,0.555939853
10,NOAA,0.1,0.555774044
10,NOAA,0.2,0.564626106
10,NOAA,0.5,0.65697857
10,NOAA,1,0.673206388
10,Ozone,0.05,0.415783916
10,Ozone,0.1,0.487555938
10,Ozone,0.2,0.530672797
10,Ozone,0.5,0.521537607
10,Ozone,1,0.474968935
11,INSECTS incremental_imbalanced,0.05,0.258671007
11,INSECTS incremental_imbalanced,0.1,0.242432147
11,INSECTS incremental_imbalanced,0.2,0.201822281
11,INSECTS incremental_imbalanced,0.5,0.140975782
11,INSECTS incremental_imbalanced,1,0.397326651
11,INSECTS incremental-abrupt_imbalanced,0.05,0.245969896
11,INSECTS incremental-abrupt_imbalanced,0.1,0.251056904
11,INSECTS incremental-abrupt_imbalanced,0.2,0.253076247
11,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753
11,INSECTS incremental-abrupt_imbalanced,1,0.388659324
11,Keystroke,0.05,0.469252723
11,Keystroke,0.1,0.718405722
11,Keystroke,0.2,0.74264432
11,Keystroke,0.5,0.684794435
11,Keystroke,1,0.940603409
11,NOAA,0.05,0.537464699
11,NOAA,0.1,0.566683737
11,NOAA,0.2,0.564626106
11,NOAA,0.5,0.65697857
11,NOAA,1,0.673206388
11,Ozone,0.05,0.448584292
11,Ozone,0.1,0.444960184
11,Ozone,0.2,0.529621612
11,Ozone,0.5,0.485630903
11,Ozone,1,0.474968935
12,INSECTS incremental_imbalanced,0.05,0.258429644
12,INSECTS incremental_imbalanced,0.1,0.253359944
12,INSECTS incremental_imbalanced,0.2,0.198063957
12,INSECTS incremental_imbalanced,0.5,0.140975782
12,INSECTS incremental_imbalanced,1,0.397326651
12,INSECTS incremental-abrupt_imbalanced,0.05,0.242604459
12,INSECTS incremental-abrupt_imbalanced,0.1,0.253502868
12,INSECTS incremental-abrupt_imbalanced,0.2,0.244025048
12,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753
12,INSECTS incremental-abrupt_imbalanced,1,0.388659324
12,Keystroke,0.05,0.485784035
12,Keystroke,0.1,0.67448349
12,Keystroke,0.2,0.794458979
12,Keystroke,0.5,0.684794435
12,Keystroke,1,0.940603409
12,NOAA,0.05,0.527218925
12,NOAA,0.1,0.562893313
12,NOAA,0.2,0.574929936
12,NOAA,0.5,0.65697857
12,NOAA,1,0.673206388
12,Ozone,0.05,0.393654881
12,Ozone,0.1,0.450062062
12,Ozone,0.2,0.526925722
12,Ozone,0.5,0.521537607
12,Ozone,1,0.474968935
13,INSECTS incremental_imbalanced,0.05,0.235156016
13,INSECTS incremental_imbalanced,0.1,0.255011261
13,INSECTS incremental_imbalanced,0.2,0.202891199
13,INSECTS incremental_imbalanced,0.5,0.140975782
13,INSECTS incremental_imbalanced,1,0.397326651
13,INSECTS incremental-abrupt_imbalanced,0.05,0.255361849
13,INSECTS incremental-abrupt_imbalanced,0.1,0.258921829
13,INSECTS incremental-abrupt_imbalanced,0.2,0.245814772
13,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753
13,INSECTS incremental-abrupt_imbalanced,1,0.388659324
13,Keystroke,0.05,0.549737125
13,Keystroke,0.1,0.669397273
13,Keystroke,0.2,0.759429881
13,Keystroke,0.5,0.684794435
13,Keystroke,1,0.940603409
13,NOAA,0.05,0.537464699
13,NOAA,0.1,0.562893313
13,NOAA,0.2,0.576886398
13,NOAA,0.5,0.65697857
13,NOAA,1,0.673206388
13,Ozone,0.05,0.481380222
13,Ozone,0.1,0.444960184
13,Ozone,0.2,0.526925722
13,Ozone,0.5,0.521537607
13,Ozone,1,0.474968935
14,INSECTS incremental_imbalanced,0.05,0.237393893
14,INSECTS incremental_imbalanced,0.1,0.255011261
14,INSECTS incremental_imbalanced,0.2,0.198063957
14,INSECTS incremental_imbalanced,0.5,0.140975782
14,INSECTS incremental_imbalanced,1,0.397326651
14,INSECTS incremental-abrupt_imbalanced,0.05,0.256395692
14,INSECTS incremental-abrupt_imbalanced,0.1,0.246993937
14,INSECTS incremental-abrupt_imbalanced,0.2,0.244025048
14,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753
14,INSECTS incremental-abrupt_imbalanced,1,0.388659324
14,Keystroke,0.05,0.618715253
14,Keystroke,0.1,0.669397273
14,Keystroke,0.2,0.74264432
14,Keystroke,0.5,0.684794435
14,Keystroke,1,0.940603409
14,NOAA,0.05,0.555939853
14,NOAA,0.1,0.598205873
14,NOAA,0.2,0.576886398
14,NOAA,0.5,0.65697857
14,NOAA,1,0.673206388
14,Ozone,0.05,0.474030474
14,Ozone,0.1,0.444960184
14,Ozone,0.2,0.483722719
14,Ozone,0.5,0.485630903
14,Ozone,1,0.474968935
15,INSECTS incremental_imbalanced,0.05,0.257925235
15,INSECTS incremental_imbalanced,0.1,0.253359944
